Tg_survey	Surv	Pos_news	N_infect	N_death	N_heal	N_vax
11.05.2020	66	37.33	233	18	183	0
18.05.2020	60	37.14	496	43	195	0
25.05.2020	50	31.34	479	19	240	0
01.06.2020	57	37.35	467	28	329	0
08.06.2020	60	36.9	847	32	406	0
15.06.2020	57	34.92	1017	64	592	0
22.06.2020	61	27.16	954	35	331	0
29.06.2020	60	31.75	1082	51	864	0
20.07.2020	58	38.46	1693	96	1576	0
03.08.2020	65	28.26	1679	66	1262	0
17.08.2020	65	40	1821	57	1355	0
31.08.2020	66	18.51	2743	74	1774	0
14.09.2020	55	25.3	3141	118	3395	0
28.09.2020	59	33.87	3509	87	3856	0
12.10.2020	54	34.09	3267	91	3492	0
26.10.2020	59	34.04	3222	112	3908	0
09.11.2020	65	30.23	2853	75	3968	0
23.11.2020	64	34.55	4442	118	4198	0
07.12.2020	60	26.74	5754	127	4431	0
21.12.2020	61	48.68	6848	205	5073	0
03.01.2021	59	37.1	6877	179	6419	0
17.01.2021	64	22.66	11287	220	9102	0
31.01.2021	63	28.05	12001	270	10719	493133
14.02.2021	64	40.68	6765	247	9237	1068747
28.02.2021	67	34.44	5560	185	6649	1691724
14.03.2021	69	41.38	4714	97	5647	4020124
28.03.2021	72	36.51	4083	85	4279	7435851
11.04.2021	72	39.22	4127	87	5219	10280073
25.04.2021	72	36.84	4402	94	3804	11741559
09.05.2021	67	38.46	3922	170	4360	13349469
23.05.2021	70	31.67	5280	123	3550	14909734
06.06.2021	69	31.71	5832	163	4187	17643603
20.06.2021	66	17.02	13737	371	6385	23043372
04.07.2021	57	30.82	27233	555	13127	32063745
18.07.2021	51	29.69	44721	1093	29264	41673464
28.07.2021	55	31.65	47791	1824	43856	45734912
11.08.2021	57	26.21	30625	1579	39931	52373483
25.08.2021	67	38.04	18671	1041	33703	59011333
12.09.2021	68	34.85	3779	188	9401	72766195
